Organization,CanteenCode,Date,Students,Staff,OtherGuests,Total,EnrolledStudents,Comments
Sala kommun,19,2010-10-08,13,,,13,,
Sala kommun,19,2010-10-09,,,,,,
Sala kommun,19,2010-10-10,,,,,,
Sala kommun,19,2010-10-11,12,,,12,,
Sala kommun,19,2010-10-12,9,,,9,,
Sala kommun,19,2010-10-13,10,,,10,,
Sala kommun,19,2010-10-14,9,,,9,,
Sala kommun,19,2010-10-15,11,,,11,,
Sala kommun,19,2010-10-16,,,,,,
Sala kommun,19,2010-10-17,,,,,,
Sala kommun,19,2010-10-18,15,,,15,,
Sala kommun,19,2010-10-19,14,,,14,,
Sala kommun,19,2010-10-20,14,,,14,,
Sala kommun,19,2010-10-21,17,,,17,,
Sala kommun,19,2010-10-22,16,,,16,,
Sala kommun,19,2010-10-23,,,,,,
Sala kommun,19,2010-10-24,,,,,,
Sala kommun,19,2010-10-25,13,,,13,,
Sala kommun,19,2010-10-26,15,,,15,,
Sala kommun,19,2010-10-27,15,,,15,,
Sala kommun,19,2010-10-28,15,,,15,,
Sala kommun,19,2010-10-29,13,,,13,,
Sala kommun,19,2010-10-30,,,,,,
Sala kommun,19,2010-10-31,,,,,,
Sala kommun,19,2010-11-01,12,,,12,,
Sala kommun,19,2010-11-02,12,,,12,,
Sala kommun,19,2010-11-03,14,,,14,,
Sala kommun,19,2010-11-04,13,,,13,,
Sala kommun,19,2010-11-05,10,,,10,,
Sala kommun,19,2010-11-06,,,,,,
Sala kommun,19,2010-11-07,,,,,,
Sala kommun,19,2010-11-08,18,,,18,,
Sala kommun,19,2010-11-09,14,,,14,,
Sala kommun,19,2010-11-10,16,,,16,,
Sala kommun,19,2010-11-11,15,,,15,,
Sala kommun,19,2010-11-12,14,,,14,,
Sala kommun,19,2010-11-13,,,,,,
Sala kommun,19,2010-11-14,,,,,,
Sala kommun,19,2010-11-15,16,,,16,,
Sala kommun,19,2010-11-16,12,,,12,,
Sala kommun,19,2010-11-17,17,,,17,,
Sala kommun,19,2010-11-18,11,,,11,,
Sala kommun,19,2010-11-19,12,,,12,,
Sala kommun,19,2010-11-20,,,,,,
Sala kommun,19,2010-11-21,,,,,,
Sala kommun,19,2010-11-22,11,,,11,,
Sala kommun,19,2010-11-23,14,,,14,,
Sala kommun,19,2010-11-24,14,,,14,,
Sala kommun,19,2010-11-25,11,,,11,,
Sala kommun,19,2010-11-26,12,,,12,,
Sala kommun,19,2010-11-27,,,,,,
Sala kommun,19,2010-11-28,,,,,,
Sala kommun,19,2010-11-29,15,,,15,,
Sala kommun,19,2010-11-30,15,,,15,,
Sala kommun,19,2010-12-01,16,,,16,,
Sala kommun,19,2010-12-02,15,,,15,,
Sala kommun,19,2010-12-03,17,,,17,,
Sala kommun,19,2010-12-04,,,,,,
Sala kommun,19,2010-12-05,,,,,,
Sala kommun,19,2010-12-06,16,,,16,,
Sala kommun,19,2010-12-07,13,,,13,,
Sala kommun,19,2010-12-08,16,,,16,,
Sala kommun,19,2010-12-09,14,,,14,,
Sala kommun,19,2010-12-10,18,,,18,,
Sala kommun,19,2010-12-11,,,,,,
Sala kommun,19,2010-12-12,,,,,,
Sala kommun,19,2010-12-13,16,,,16,,
Sala kommun,19,2010-12-14,16,,,16,,
Sala kommun,19,2010-12-15,13,,,13,,
Sala kommun,19,2010-12-16,15,,,15,,
Sala kommun,19,2010-12-17,12,,,12,,
Sala kommun,19,2010-12-18,,,,,,
Sala kommun,19,2010-12-19,,,,,,
Sala kommun,19,2010-12-20,17,,,17,,
Sala kommun,19,2010-12-21,16,,,16,,
Sala kommun,19,2010-12-22,14,,,14,,
Sala kommun,19,2010-12-23,,,,,,
Sala kommun,19,2010-12-24,,,,,,
Sala kommun,19,2010-12-25,,,,,,
Sala kommun,19,2010-12-26,,,,,,
Sala kommun,19,2010-12-27,,,,,,
Sala kommun,19,2010-12-28,,,,,,
Sala kommun,19,2010-12-29,,,,,,
Sala kommun,19,2010-12-30,,,,,,
Sala kommun,19,2010-12-31,,,,,,
Sala kommun,19,2011-01-01,,,,,,
Sala kommun,19,2011-01-02,,,,,,
Sala kommun,19,2011-01-03,5,,,5,,
Sala kommun,19,2011-01-04,7,,,7,,
Sala kommun,19,2011-01-05,6,,,6,,
Sala kommun,19,2011-01-06,,,,,,
Sala kommun,19,2011-01-07,2,,,2,,
Sala kommun,19,2011-01-08,,,,,,
Sala kommun,19,2011-01-09,,,,,,
Sala kommun,19,2011-01-10,,,,,,
Sala kommun,19,2011-01-11,16,,,16,,
Sala kommun,19,2011-01-12,12,,,12,,
Sala kommun,19,2011-01-13,13,,,13,,
Sala kommun,19,2011-01-14,15,,,15,,
Sala kommun,19,2011-01-15,,,,,,
Sala kommun,19,2011-01-16,,,,,,
Sala kommun,19,2011-01-17,12,,,12,,
Sala kommun,19,2011-01-18,12,,,12,,
Sala kommun,19,2011-01-19,11,,,11,,
Sala kommun,19,2011-01-20,16,,,16,,
Sala kommun,19,2011-01-21,12,,,12,,
Sala kommun,19,2011-01-22,,,,,,
Sala kommun,19,2011-01-23,,,,,,
Sala kommun,19,2011-01-24,12,,,12,,
Sala kommun,19,2011-01-25,14,,,14,,
Sala kommun,19,2011-01-26,10,,,10,,
Sala kommun,19,2011-01-27,11,,,11,,
Sala kommun,19,2011-01-28,12,,,12,,
Sala kommun,19,2011-01-29,,,,,,
Sala kommun,19,2011-01-30,,,,,,
Sala kommun,19,2011-01-31,14,,,14,,
Sala kommun,19,2011-02-01,13,,,13,,
Sala kommun,19,2011-02-02,15,,,15,,
Sala kommun,19,2011-02-03,15,,,15,,
Sala kommun,19,2011-02-04,14,,,14,,
Sala kommun,19,2011-02-05,,,,,,
Sala kommun,19,2011-02-06,,,,,,
Sala kommun,19,2011-02-07,15,,,15,,
Sala kommun,19,2011-02-08,15,,,15,,
Sala kommun,19,2011-02-09,14,,,14,,
Sala kommun,19,2011-02-10,15,,,15,,
Sala kommun,19,2011-02-11,14,,,14,,
Sala kommun,19,2011-02-12,,,,,,
Sala kommun,19,2011-02-13,,,,,,
Sala kommun,19,2011-02-14,16,,,16,,
Sala kommun,19,2011-02-15,10,,,10,,
Sala kommun,19,2011-02-16,11,,,11,,
Sala kommun,19,2011-02-17,12,,,12,,
Sala kommun,19,2011-02-18,15,,,15,,
Sala kommun,19,2011-02-19,,,,,,
Sala kommun,19,2011-02-20,,,,,,
Sala kommun,19,2011-02-21,13,,,13,,
Sala kommun,19,2011-02-22,12,,,12,,
Sala kommun,19,2011-02-23,14,,,14,,
Sala kommun,19,2011-02-24,7,,,7,,
Sala kommun,19,2011-02-25,7,,,7,,
Sala kommun,19,2011-02-26,,,,,,
Sala kommun,19,2011-02-27,,,,,,
Sala kommun,19,2011-02-28,3,,,3,,
Sala kommun,19,2011-03-01,4,,,4,,
Sala kommun,19,2011-03-02,3,,,3,,
Sala kommun,19,2011-03-03,2,,,2,,
Sala kommun,19,2011-03-04,4,,,4,,
Sala kommun,19,2011-03-05,,,,,,
Sala kommun,19,2011-03-06,,,,,,
Sala kommun,19,2011-03-07,13,,,13,,
Sala kommun,19,2011-03-08,13,,,13,,
Sala kommun,19,2011-03-09,13,,,13,,
Sala kommun,19,2011-03-10,14,,,14,,
Sala kommun,19,2011-03-11,14,,,14,,
Sala kommun,19,2011-03-12,,,,,,
Sala kommun,19,2011-03-13,,,,,,
Sala kommun,19,2011-03-14,13,,,13,,
Sala kommun,19,2011-03-15,15,,,15,,
Sala kommun,19,2011-03-16,14,,,14,,
Sala kommun,19,2011-03-17,13,,,13,,
Sala kommun,19,2011-03-18,14,,,14,,
Sala kommun,19,2011-03-19,,,,,,
Sala kommun,19,2011-03-20,,,,,,
Sala kommun,19,2011-03-21,14,,,14,,
Sala kommun,19,2011-03-22,14,,,14,,
Sala kommun,19,2011-03-23,14,,,14,,
Sala kommun,19,2011-03-24,14,,,14,,
Sala kommun,19,2011-03-25,13,,,13,,
Sala kommun,19,2011-03-26,,,,,,
Sala kommun,19,2011-03-27,,,,,,
Sala kommun,19,2011-03-28,15,,,15,,
Sala kommun,19,2011-03-29,16,,,16,,
Sala kommun,19,2011-03-30,15,,,15,,
Sala kommun,19,2011-03-31,16,,,16,,
Sala kommun,19,2011-04-01,14,,,14,,
Sala kommun,19,2011-04-02,,,,,,
Sala kommun,19,2011-04-03,,,,,,
Sala kommun,19,2011-04-04,12,,,12,,
Sala kommun,19,2011-04-05,13,,,13,,
Sala kommun,19,2011-04-06,14,,,14,,
Sala kommun,19,2011-04-07,15,,,15,,
Sala kommun,19,2011-04-08,11,,,11,,
Sala kommun,19,2011-04-09,,,,,,
Sala kommun,19,2011-04-10,,,,,,
Sala kommun,19,2011-04-11,12,,,12,,
Sala kommun,19,2011-04-12,12,,,12,,
Sala kommun,19,2011-04-13,12,,,12,,
Sala kommun,19,2011-04-14,13,,,13,,
Sala kommun,19,2011-04-15,14,,,14,,
Sala kommun,19,2011-04-16,,,,,,
Sala kommun,19,2011-04-17,,,,,,
Sala kommun,19,2011-04-18,5,,,5,,
Sala kommun,19,2011-04-19,6,,,6,,
Sala kommun,19,2011-04-20,9,,,9,,
Sala kommun,19,2011-04-21,7,,,7,,
Sala kommun,19,2011-04-22,,,,,,
Sala kommun,19,2011-04-23,,,,,,
Sala kommun,19,2011-04-24,,,,,,
Sala kommun,19,2011-04-25,,,,,,
Sala kommun,19,2011-04-26,16,,,16,,
Sala kommun,19,2011-04-27,15,,,15,,
Sala kommun,19,2011-04-28,15,,,15,,
Sala kommun,19,2011-04-29,15,,,15,,
Sala kommun,19,2011-04-30,,,,,,
Sala kommun,19,2011-05-01,,,,,,
Sala kommun,19,2011-05-02,,,,,,
Sala kommun,19,2011-05-03,,,,,,
Sala kommun,19,2011-05-04,15,,,15,,
Sala kommun,19,2011-05-05,17,,,17,,
Sala kommun,19,2011-05-06,17,,,17,,
Sala kommun,19,2011-05-07,,,,,,
Sala kommun,19,2011-05-08,,,,,,
Sala kommun,19,2011-05-09,15,,,15,,
Sala kommun,19,2011-05-10,14,,,14,,
Sala kommun,19,2011-05-11,14,,,14,,
Sala kommun,19,2011-05-12,13,,,13,,
Sala kommun,19,2011-05-13,15,,,15,,
Sala kommun,19,2011-05-14,,,,,,
Sala kommun,19,2011-05-15,,,,,,
Sala kommun,19,2011-05-16,11,,,11,,
Sala kommun,19,2011-05-17,12,,,12,,
Sala kommun,19,2011-05-18,12,,,12,,
Sala kommun,19,2011-05-19,12,,,12,,
Sala kommun,19,2011-05-20,14,,,14,,
Sala kommun,19,2011-05-21,,,,,,
Sala kommun,19,2011-05-22,,,,,,
Sala kommun,19,2011-05-23,16,,,16,,
Sala kommun,19,2011-05-24,15,,,15,,
Sala kommun,19,2011-05-25,15,,,15,,
Sala kommun,19,2011-05-26,12,,,12,,
Sala kommun,19,2011-05-27,13,,,13,,
Sala kommun,19,2011-05-28,,,,,,
Sala kommun,19,2011-05-29,,,,,,
Sala kommun,19,2011-05-30,17,,,17,,
Sala kommun,19,2011-05-31,16,,,16,,
Sala kommun,19,2011-06-01,13,,,13,,
Sala kommun,19,2011-06-02,,,,,,lov
Sala kommun,19,2011-06-03,5,,,5,,
Sala kommun,19,2011-06-04,,,,,,
Sala kommun,19,2011-06-05,,,,,,
Sala kommun,19,2011-06-06,,,,,,
Sala kommun,19,2011-06-07,14,,,14,,
Sala kommun,19,2011-06-08,14,,,14,,
Sala kommun,19,2011-06-09,14,,,14,,
Sala kommun,19,2011-06-10,10,,,10,,
Sala kommun,19,2011-06-11,,,,,,
Sala kommun,19,2011-06-12,,,,,,
Sala kommun,19,2011-06-13,14,,,14,,
Sala kommun,19,2011-06-14,10,,,10,,
Sala kommun,19,2011-06-15,10,,,10,,
Sala kommun,19,2011-06-16,14,,,14,,
Sala kommun,19,2011-06-17,14,,,14,,
Sala kommun,19,2011-06-18,,,,,,
Sala kommun,19,2011-06-19,,,,,,
Sala kommun,19,2011-06-20,14,,,14,,
Sala kommun,19,2011-06-21,13,,,13,,
Sala kommun,19,2011-06-22,13,,,13,,
Sala kommun,19,2011-06-23,13,,,13,,
Sala kommun,19,2011-06-24,,,,,,
Sala kommun,19,2011-06-25,,,,,,
Sala kommun,19,2011-06-26,,,,,,
Sala kommun,19,2011-06-27,10,,,10,,
Sala kommun,19,2011-06-28,10,,,10,,
Sala kommun,19,2011-06-29,10,,,10,,
Sala kommun,19,2011-06-30,10,,,10,,
Sala kommun,19,2011-07-01,10,,,10,,
Sala kommun,19,2011-07-02,,,,,,
Sala kommun,19,2011-07-03,,,,,,
Sala kommun,19,2011-07-04,,,,,,
Sala kommun,19,2011-07-05,,,,,,
Sala kommun,19,2011-07-06,,,,,,
Sala kommun,19,2011-07-07,,,,,,
Sala kommun,19,2011-07-08,,,,,,
Sala kommun,19,2011-07-09,,,,,,
Sala kommun,19,2011-07-10,,,,,,
Sala kommun,19,2011-07-11,,,,,,
Sala kommun,19,2011-07-12,,,,,,
Sala kommun,19,2011-07-13,,,,,,
Sala kommun,19,2011-07-14,,,,,,
Sala kommun,19,2011-07-15,,,,,,
Sala kommun,19,2011-07-16,,,,,,
Sala kommun,19,2011-07-17,,,,,,
Sala kommun,19,2011-07-18,,,,,,
Sala kommun,19,2011-07-19,,,,,,
Sala kommun,19,2011-07-20,,,,,,
Sala kommun,19,2011-07-21,,,,,,
Sala kommun,19,2011-07-22,,,,,,
Sala kommun,19,2011-07-23,,,,,,
Sala kommun,19,2011-07-24,,,,,,
Sala kommun,19,2011-07-25,,,,,,
Sala kommun,19,2011-07-26,,,,,,
Sala kommun,19,2011-07-27,,,,,,
Sala kommun,19,2011-07-28,,,,,,
Sala kommun,19,2011-07-29,,,,,,
Sala kommun,19,2011-07-30,,,,,,
Sala kommun,19,2011-07-31,,,,,,
Sala kommun,19,2011-08-01,4,,,4,,
Sala kommun,19,2011-08-02,4,,,4,,
Sala kommun,19,2011-08-03,4,,,4,,
Sala kommun,19,2011-08-04,4,,,4,,
Sala kommun,19,2011-08-05,4,,,4,,
Sala kommun,19,2011-08-06,,,,,,
Sala kommun,19,2011-08-07,,,,,,
Sala kommun,19,2011-08-08,6,,,6,,
Sala kommun,19,2011-08-09,6,,,6,,
Sala kommun,19,2011-08-10,6,,,6,,
Sala kommun,19,2011-08-11,7,,,7,,
Sala kommun,19,2011-08-12,7,,,7,,
Sala kommun,19,2011-08-13,,,,,,
Sala kommun,19,2011-08-14,,,,,,
Sala kommun,19,2011-08-15,8,,,8,,
Sala kommun,19,2011-08-16,4,,,4,,
Sala kommun,19,2011-08-17,7,,,7,,
Sala kommun,19,2011-08-18,6,,,6,,
